cuisine,avg_rating,positive_sentiment,review_count,median_price,rank_score
Restaurants,3.9402143568746375,74.04234588309997,182686,2.0,0.8462139328034908
Cideries,4.863157894736842,95.78947368421052,95,2.0,0.6875244264389229
Piano Bars,4.8,94.0,50,,0.6768873029032427
Street Vendors,4.752873563218391,94.82758620689656,174,1.0,0.675697489179167
Food,4.01269690287806,76.22465303298888,69387,2.0,0.6726673140914079
Food Stands,4.740932642487047,93.78238341968913,193,1.0,0.6716109282415755
Cheese Shops,4.728395061728395,93.82716049382715,81,1.0,0.6705301077381526
Nightlife,4.053768896976484,77.34812430011199,57152,2.0,0.6593240922652329
Bars,4.05631728251382,77.4639947628746,54992,2.0,0.6563342412862854
Falafel,4.633802816901408,91.54929577464789,71,2.0,0.6558997774514262
Empanadas,4.588652482269503,90.0709219858156,141,1.0,0.6478659435347239
Patisserie/Cake Shop,4.59065934065934,89.83516483516483,364,2.0,0.6476899404745545
American (New),4.094939543215405,77.96686072548141,44660,2.0,0.6440527445351524
Nutritionists,4.5,90.0,10,2.0,0.6401462917494797
Weight Loss Centers,4.5,90.0,10,2.0,0.6401462917494797
Beer Gardens,4.483333333333333,88.33333333333333,240,2.0,0.6341531376296492
Speakeasies,4.5,87.5,40,2.0,0.6326955566083086
Breakfast & Brunch,3.9894479446622904,75.95937789135128,45394,2.0,0.6305588447627164
Champagne Bars,4.398713826366559,88.90675241157557,622,2.0,0.6295406547058926
Turkish,4.463829787234043,87.2340425531915,235,2.0,0.6292428667050185
Wine Tasting Room,4.376237623762377,86.85368536853684,1818,2.0,0.6234967872929964
Coffeeshops,4.363636363636363,86.36363636363636,22,2.0,0.6180408501133181
Caribbean,4.462616822429907,83.17757009345794,214,2.0,0.616939196256765
Mexican,4.04183734939759,76.44578313253012,33200,2.0,0.6163026227722709
Tiki Bars,4.32806324110672,86.56126482213439,253,2.0,0.6160871470746805
Hot Dogs,4.348672566371682,84.69026548672566,1130,1.0,0.6136094644157243
Latin American,4.383825417201541,83.01240907145913,2337,2.0,0.6134493446817706
Wineries,4.286626344086022,85.31586021505376,2976,2.0,0.6134143106480547
Cheesesteaks,4.416666666666667,83.33333333333334,24,1.0,0.6133150251626764
Herbs & Spices,4.358974358974359,84.61538461538461,39,2.0,0.6124405566929898
Gay Bars,4.404255319148936,82.97872340425532,47,2.0,0.6112681183350168
Coffee Roasteries,4.265951103160406,83.81037567084078,3354,2.0,0.607818033294725
Sandwiches,4.047087469563588,76.74470874695636,26695,2.0,0.6069489641251042
Internet Cafes,4.208576998050682,86.15984405458089,513,1.0,0.6054819740763948
