cuisine,avg_rating,std_rating,review_count,avg_sentiment
Cideries,4.863157894736842,0.40240041230757684,95,0.9578947368421052
Shaved Ice,4.857142857142857,0.37796447300922725,7,1.0
Piano Bars,4.8,0.8081220356417685,50,0.94
Street Vendors,4.752873563218391,0.6556714037547167,174,0.9482758620689655
Food Stands,4.740932642487047,0.6416394696252731,193,0.9378238341968912
Cheese Shops,4.728395061728395,0.8662035799829672,81,0.9382716049382716
Falafel,4.633802816901408,1.0175521976041795,71,0.9154929577464789
Patisserie/Cake Shop,4.59065934065934,0.9592355797225339,364,0.8983516483516484
Empanadas,4.588652482269503,0.9340458996508195,141,0.900709219858156
Nutritionists,4.5,1.2692955176439848,10,0.9
Weight Loss Centers,4.5,1.2692955176439848,10,0.9
Speakeasies,4.5,0.987096233585649,40,0.875
Beer Gardens,4.483333333333333,1.0348191953597867,240,0.8833333333333333
Turkish,4.463829787234043,1.0986443728901945,235,0.8723404255319149
Caribbean,4.462616822429907,1.1031345322070203,214,0.8317757009345794
Festivals,4.428571428571429,1.1338934190276815,7,0.7142857142857143
Cheesesteaks,4.416666666666667,1.0598058340078627,24,0.8333333333333334
Gay Bars,4.404255319148936,1.2275740386435054,47,0.8297872340425532
Pan Asian,4.4,1.3416407864998738,5,0.8
Champagne Bars,4.398713826366559,1.125834076966248,622,0.8890675241157556
Latin American,4.383825417201541,1.130354192120675,2337,0.8301240907145914
Wine Tasting Room,4.376237623762377,1.1045145426767071,1818,0.8685368536853685
Coffeeshops,4.363636363636363,1.048602450677615,22,0.8636363636363636
Herbs & Spices,4.358974358974359,1.3275854514509353,39,0.8461538461538461
Hot Dogs,4.348672566371682,1.153660561703211,1130,0.8469026548672567
Kebab,4.336633663366337,1.151322958363745,101,0.7821782178217822
Tiki Bars,4.32806324110672,1.0192020513036248,253,0.8656126482213439
Wineries,4.286626344086022,1.159615660538551,2976,0.8531586021505376
International Grocery,4.278260869565218,1.2143604840563673,345,0.8347826086956521
Coffee Roasteries,4.265951103160406,1.1541974146262395,3354,0.8381037567084079
Jazz & Blues,4.247443762781186,1.271583581492085,489,0.8507157464212679
New Mexican Cuisine,4.242918454935622,1.2553165552949614,1165,0.7982832618025751
Whiskey Bars,4.238095238095238,1.3003496033409974,441,0.8049886621315193
Comfort Food,4.236389684813753,1.1509669937911966,1396,0.8094555873925502
Korean,4.225756798358132,1.1994752036750163,1949,0.8183683940482298
Arabic,4.211538461538462,1.2700501152652834,156,0.8269230769230769
Internet Cafes,4.208576998050682,1.0974778090799835,513,0.8615984405458089
Arts & Entertainment,4.2061199510403915,1.2056477243239314,4085,0.8315789473684211
Tapas Bars,4.205764966740577,1.19718040814681,2255,0.824390243902439
Farmers Market,4.202260559190957,1.2347236556728072,1681,0.7941701368233195
Fruits & Veggies,4.2,1.3013904184665708,95,0.8526315789473684
Cajun/Creole,4.199469652327637,1.110987782845626,3394,0.8152622274602239
