cuisine,positive_pct,count
Shaved Ice,100.0,7
Cideries,95.78947368421052,95
Street Vendors,94.82758620689656,174
Piano Bars,94.0,50
Cheese Shops,93.82716049382715,81
Food Stands,93.78238341968913,193
Falafel,91.54929577464789,71
Empanadas,90.0709219858156,141
Nutritionists,90.0,10
Weight Loss Centers,90.0,10
Patisserie/Cake Shop,89.83516483516483,364
Champagne Bars,88.90675241157557,622
Beer Gardens,88.33333333333333,240
Speakeasies,87.5,40
Turkish,87.2340425531915,235
Wine Tasting Room,86.85368536853684,1818
Tiki Bars,86.56126482213439,253
Coffeeshops,86.36363636363636,22
Internet Cafes,86.15984405458089,513
Wineries,85.31586021505376,2976
Fruits & Veggies,85.26315789473684,95
Jazz & Blues,85.07157464212679,489
Hot Dogs,84.69026548672566,1130
Herbs & Spices,84.61538461538461,39
Coffee Roasteries,83.81037567084078,3354
International Grocery,83.47826086956522,345
Cheesesteaks,83.33333333333334,24
Caribbean,83.17757009345794,214
Arts & Entertainment,83.15789473684211,4085
Latin American,83.01240907145913,2337
Gay Bars,82.97872340425532,47
Arabic,82.6923076923077,156
Tapas Bars,82.4390243902439,2255
Lebanese,82.22409435551812,1187
Moroccan,82.14285714285714,28
Korean,81.83683940482298,1949
Acai Bowls,81.82870370370371,2592
Irish,81.78694158075601,291
Cajun/Creole,81.5262227460224,3394
Pop-Up Restaurants,81.31147540983606,610
Comfort Food,80.94555873925502,1396
Whiskey Bars,80.49886621315193,441
German,80.45112781954887,798
Pubs,80.26878436163715,3274
Boating,80.0,5
Pan Asian,80.0,5
Wine & Spirits,79.86702525026146,13386
Beer,79.86702525026146,13386
Kombucha,79.83539094650206,243
New Mexican Cuisine,79.82832618025752,1165
French,79.69776609724047,6088
Gastropubs,79.69289827255278,2605
Middle Eastern,79.54545454545455,1584
Farmers Market,79.41701368233196,1681
Health Markets,79.31839402427637,2142
Beer Bar,79.20749893481039,7041
Cafeteria,79.06976744186046,43
Delis,78.94494356139138,8682
Cupcakes,78.88888888888889,450
Ethiopian,78.84615384615384,364
Juice Bars & Smoothies,78.65908410655493,6682
Seafood Markets,78.65853658536585,820
Taiwanese,78.6144578313253,664
Brazilian,78.4741144414169,367
Wine Bars,78.38124911485626,14122
Music Venues,78.28125,1280
Breweries,78.27978580990629,2988
Specialty Food,78.24464633354964,6164
Kebab,78.21782178217822,101
Cocktail Bars,78.16694294422759,18701
American (New),77.96686072548141,44660
Bakeries,77.6486466221789,13337
Bars,77.4639947628746,54992
Coffee & Tea,77.40032032369552,23726
Ramen,77.37887765772045,2869
Nightlife,77.34812430011199,57152
Tacos,77.20415688903788,5966
Mediterranean,77.09648331830478,3327
Cafes,77.07474014189077,12122
Fish & Chips,77.03186537773004,5586
Delicatessen,76.92307692307693,13
Local Flavor,76.87107677450507,2071
Comedy Clubs,76.82926829268293,82
Dive Bars,76.77419354838709,310
Sandwiches,76.74470874695636,26695
Ice Cream & Frozen Yogurt,76.66925465838509,2576
Hawaiian,76.6104506497097,3617
Soul Food,76.5993265993266,594
Mexican,76.44578313253012,33200
Belgian,76.2979683972912,443
Food,76.22465303298888,69387
Tapas/Small Plates,76.12172367836517,4502
Gluten-Free,76.07211144496038,7322
Donuts,76.06461086637299,1362
Breakfast & Brunch,75.95937789135128,45394
Desserts,75.92575988523267,11153
Diners,75.85964912280701,4275
Ethnic Food,75.73099415204678,684
Cuban,75.7085020242915,247
Vegan,75.62665579783983,4907
Grocery,75.57377049180329,1830
Argentine,75.45454545454545,110
Bagels,75.1221679253665,2251
Poke,75.0,984
Health & Medical,74.73460721868365,471
Indian,74.71665213600699,3441
Cannabis Clinics,74.67362924281984,383
Brewpubs,74.48036951501155,1732
Salad,74.40535039255597,17195
Southern,74.37050359712231,1112
Food Trucks,74.12587412587412,143
Restaurants,74.04234588309997,182686
Seafood,74.02958759194468,36299
Do-It-Yourself Food,74.01129943502825,531
Scandinavian,73.91304347826086,1127
Thai,73.88694347173586,3998
Modern European,73.62637362637363,1183
Chicken Shop,73.62637362637363,2366
Food Court,73.61111111111111,72
Asian Fusion,73.47279260780287,7792
American (Traditional),73.29589525611988,32231
Burgers,72.82921563924202,16676
Live/Raw Food,72.65917602996255,2670
Karaoke,72.53886010362694,579
Australian,72.47474747474747,396
Lounges,72.3019801980198,4040
Halal,72.0703125,512
Food Delivery Services,71.89737470167064,1676
Herbal Shops,71.83098591549296,71
Japanese,71.78993940559776,10397
Indonesian,71.7479674796748,492
Irish Pub,71.6867469879518,166
Steakhouses,71.4556277056277,7392
Festivals,71.42857142857143,7
Creperies,71.29798903107861,547
Greek,71.19883040935673,684
British,71.16104868913857,534
Himalayan/Nepalese,71.15902964959568,371
Macarons,71.15384615384616,52
Pizza,70.71862205280249,14166
