date,avg_sentiment,review_count
2005-03-01,0.8333333333333334,6
2005-03-21,0.5,2
2005-03-22,1.0,6
2005-03-29,1.0,1
2005-03-31,1.0,1
2005-04-29,1.0,1
2005-06-01,1.0,1
2005-06-06,1.0,1
2005-06-07,1.0,5
2005-07-07,1.0,2
2005-07-31,0.5,2
2005-08-31,1.0,2
2005-09-06,0.0,1
2005-09-13,1.0,1
2005-09-15,1.0,1
2005-09-22,0.6666666666666666,3
2005-09-23,1.0,1
2005-10-18,1.0,1
2005-11-11,1.0,8
2005-11-28,1.0,1
2005-11-29,1.0,1
2005-12-14,1.0,2
2005-12-19,1.0,1
2005-12-29,1.0,1
2005-12-31,1.0,1
2006-01-05,1.0,1
2006-01-06,1.0,1
2006-01-18,0.6666666666666666,3
2006-01-27,1.0,1
2006-01-31,1.0,2
2006-02-02,0.875,8
2006-02-05,1.0,1
2006-02-06,1.0,3
2006-02-07,1.0,1
2006-02-10,1.0,1
2006-02-14,1.0,3
2006-02-16,1.0,5
2006-02-18,1.0,1
2006-02-28,1.0,1
2006-03-01,1.0,1
2006-03-14,1.0,1
2006-03-15,1.0,1
2006-03-16,1.0,1
2006-03-17,1.0,2
2006-03-23,1.0,1
2006-03-24,1.0,1
2006-04-07,1.0,1
2006-04-10,0.0,1
2006-04-13,1.0,2
2006-04-23,1.0,1
2006-04-27,1.0,1
2006-05-01,1.0,1
2006-05-02,0.0,1
2006-05-05,0.0,1
2006-05-08,1.0,1
2006-05-09,1.0,1
2006-05-11,0.0,1
2006-05-19,1.0,5
2006-05-23,1.0,1
2006-05-25,1.0,2
2006-05-30,0.0,1
2006-05-31,1.0,1
2006-06-02,0.7272727272727273,11
2006-06-12,1.0,1
2006-06-14,1.0,1
2006-06-20,0.0,1
2006-06-21,1.0,1
2006-06-23,1.0,1
2006-06-27,1.0,1
2006-06-28,1.0,2
2006-06-30,1.0,1
2006-07-02,0.8333333333333334,6
2006-07-05,1.0,1
2006-07-06,1.0,1
2006-07-08,1.0,1
2006-07-09,0.0,1
2006-07-12,1.0,1
2006-07-14,1.0,1
2006-07-18,1.0,1
2006-07-19,0.0,1
2006-07-26,1.0,2
2006-07-27,1.0,4
2006-07-28,0.8,5
2006-07-31,1.0,1
2006-08-01,0.75,4
2006-08-03,0.6666666666666666,3
2006-08-04,0.875,8
2006-08-08,1.0,1
2006-08-11,1.0,1
2006-08-16,1.0,2
2006-08-18,1.0,1
2006-08-19,1.0,2
2006-08-20,1.0,1
2006-08-22,0.5,2
2006-08-23,1.0,1
2006-08-24,1.0,1
2006-08-25,0.8,5
2006-08-26,1.0,2
2006-08-28,0.0,2
2006-08-29,1.0,3
2006-08-30,1.0,6
2006-08-31,1.0,2
2006-09-01,1.0,2
2006-09-02,0.75,4
2006-09-03,1.0,1
2006-09-04,1.0,3
2006-09-05,1.0,2
2006-09-07,0.5,2
2006-09-10,1.0,2
2006-09-11,1.0,1
2006-09-12,0.0,1
2006-09-13,1.0,4
2006-09-14,0.0,1
2006-09-20,1.0,1
2006-09-21,0.5,2
2006-09-24,1.0,1
2006-09-25,1.0,1
2006-09-26,1.0,1
