business_id,name,latitude,longitude,address,city,business_stars,avg_sentiment,price_tier,review_count
--onnLZrsCazmcy2P_7fcw,Sizzler,34.435307,-119.81968,5555 Hollister Ave,Goleta,3.0,0.5714285714285714,2.0,7
-8iATYRnN46Km0_-ldx6cg,Pace food+drink,34.416157,-119.69483,413 State St,Santa Barbara,4.0,0.8313253012048193,2.0,166
-9r8nAzWyRSLxBWt8uQOdA,Hana Kitchen,34.41325,-119.85647,6558 Pardall Rd,Isla Vista,3.0,0.521865889212828,1.0,343
-ALqLSTzkGDMscHdxA1NgA,Su Casa Fresh Mexican Grill,34.41822,-119.7158,1417 San Andres St,Santa Barbara,4.5,0.8275862068965517,1.0,29
-BdYhP-12elmFV7oB1iv4A,Corner Tap Room,34.401382,-119.72247,1905 Cliff Dr,Santa Barbara,5.0,0.9090909090909091,,44
-CoZunWzch6HzMaM34dOEQ,Mels Place,34.419968,-119.699265,6 De La Guerra Pl,Santa Barbara,3.5,0.6,,5
-FM4CxOg4XXmX_Ebky_SiQ,Finch & Fork,34.42036,-119.70248,31 W Carrillo St,Santa Barbara,4.0,0.8145048814504882,2.0,1434
-FRHYI6doGCjIsXiKHkUqw,Deja Vu Cafe IV,34.411728,-119.8568,966 Embarcadero Del Mar,Goleta,2.5,0.39622641509433965,1.0,106
-H-fZonTLitwHFY_PLAIjA,Taffy's Pizza,34.42955,-119.717606,2026 De La Vina St,Santa Barbara,4.0,0.7171717171717171,2.0,198
-I7M6l0h46VdiN09Y1NUZw,Apna Indian Kitchen,34.41924,-119.69839,718 State St,Santa Barbara,4.5,0.8862745098039215,2.0,255
-Lwq2vdrQolANLzEbYMPpQ,Le Crepe Shoppe,34.415752,-119.69428,15 W Gutierrez St,Santa Barbara,4.0,0.8636363636363636,1.0,22
-M7wzxpUsdSkQd9PDGsJWA,Tyler's Donuts,34.39466,-119.51293,1002 Casitas Pass Rd,Carpinteria,4.0,0.7222222222222222,1.0,54
-SS3ep20HKhuOhzDkkt9aA,Tinker's Burgers,34.421574,-119.60122,"2275 Ortega Hill Rd, Ste C",Summerland,4.0,0.6911764705882353,2.0,204
-TArOdux8Z4oH-jIM1FJuQ,Bistro 1111,34.417652,-119.66912,1111 E Cabrillo Blvd,Santa Barbara,3.5,0.5714285714285714,2.0,63
-TSPsir3LSLO9vVBkvkqUw,The Coffee Bean & Tea Leaf,34.398964,-119.51873,4991 Carpinteria Ave,Carpinteria,3.5,0.6166666666666667,2.0,60
-VvMsFD0W2nQuO9buaeC1g,Los Tarascos,34.441227,-119.828384,5915B Calle Real,Goleta,4.5,0.8958333333333334,1.0,144
-e8RwknT5szoLk9uBZjzcw,Riverbench Santa Barbara Tasting Room,34.414814,-119.69056,"137 Anacapa St, Ste C",Santa Barbara,4.0,0.8278688524590164,2.0,122
