year_month,avg_stars,review_count,avg_sentiment
2005-03,4.125,16,0.875
2005-04,4.0,1,1.0
2005-06,4.285714285714286,7,1.0
2005-07,3.0,4,0.75
2005-08,4.5,2,1.0
2005-09,3.7142857142857144,7,0.7142857142857143
2005-10,5.0,1,1.0
2005-11,3.9,10,1.0
2005-12,4.0,5,1.0
2006-01,4.125,8,0.875
2006-02,4.416666666666667,24,0.9583333333333334
2006-03,4.25,8,1.0
2006-04,3.6666666666666665,6,0.8333333333333334
2006-05,3.8125,16,0.75
2006-06,4.05,20,0.8
2006-07,3.9615384615384617,26,0.8461538461538461
2006-08,4.1063829787234045,47,0.851063829787234
2006-09,4.3,30,0.8
2006-10,4.0,34,0.8235294117647058
2006-11,4.185185185185185,27,0.8518518518518519
2006-12,4.0,48,0.8125
2007-01,3.8875,80,0.75
2007-02,4.127272727272727,55,0.8727272727272727
2007-03,3.6363636363636362,66,0.6666666666666666
2007-04,3.9477611940298507,134,0.7910447761194029
2007-05,4.0,58,0.8103448275862069
2007-06,4.186813186813187,91,0.7912087912087912
2007-07,3.7403846153846154,104,0.7692307692307693
2007-08,3.8461538461538463,130,0.7384615384615385
2007-09,3.976470588235294,85,0.788235294117647
2007-10,3.8285714285714287,105,0.7047619047619048
2007-11,3.905511811023622,127,0.7795275590551181
2007-12,3.5164835164835164,91,0.6153846153846154
2008-01,3.796116504854369,103,0.6893203883495146
2008-02,3.9245283018867925,106,0.7830188679245284
2008-03,3.825806451612903,155,0.7612903225806451
2008-04,3.896,125,0.776
2008-05,3.75531914893617,188,0.7021276595744681
2008-06,3.8127853881278537,219,0.7625570776255708
2008-07,3.771551724137931,232,0.7586206896551724
2008-08,3.5973451327433628,226,0.7079646017699115
2008-09,3.792270531400966,207,0.7246376811594203
2008-10,3.6972972972972973,185,0.7297297297297297
2008-11,3.8473282442748094,131,0.8015267175572519
2008-12,3.657754010695187,187,0.7540106951871658
2009-01,3.7394957983193278,238,0.6974789915966386
2009-02,3.7719298245614037,228,0.7280701754385965
2009-03,3.75,308,0.7824675324675324
2009-04,3.7588652482269502,282,0.7375886524822695
