business_id,name,city
tZnPqmwGcLjYeBdwyvhazg,'O' Bar + Kitchen,Santa Barbara
LsniEK_m_Jbj7JMbT4eRxQ,101 Deli,Santa Barbara
VXxZJNSscbm5bpG5ll2rcQ,212° Hotpot,Goleta
CuRjZOmfnXjefwEpyzmTTw,4 Eggs & Pizza,Santa Barbara
KMBCvNByuzXlPoNzHeBhZw,6831 AA Hollister Ave,Goleta
1pd4VYTww1UWDVai2r2RKg,805 Boba,Santa Barbara
TN3tMGLb6AbAnN6rFKmH1A,805 Kabob,Goleta
Stx8fUjg_m0-CAcT2NJCNQ,A Healthy Life,Carpinteria
pGtaxpSxxpmqPs6FAR1W_A,A Piece of Cake,Santa Barbara
uPaVoR6XHk12KT9KTr1WFw,ASIE,Santa Barbara
Ksz_jsyyK3Zjlq_Cz81ZBA,Adama Vegan Comfort Cuisine,Santa Barbara
Ow29cE1wS-_LrfN7jEuDPA,Ahi Sushi,Santa Barbara
OMWhamtXhqlYCj66MqcxuQ,Aksum Restaurant,Santa Barbara
j3rAeZ9rnUwEDEQJQ7OWDQ,Aladdin Cafe,Isla Vista
0cWnURpfrb4MqKSzyVN4SQ,Alcazar Tapas Bar,Santa Barbara
yuHv4P8RUG8rWKnx50azWA,Alchemy Cafe,Santa Barbara
MmN1qpG224QxOeq72DpN2g,Aldo's Italian Restaurant,Santa Barbara
WVNkMz4sEl35swjVtKHOFw,Alessia Patisserie & Cafe ,Santa Barbara
Nv6ruFQa6AG6g8f-_IxFCw,Alito’s,Santa Barbara
NynM3SwsOMFJryABCKuOlg,All India Cafe,Santa Barbara
GpESl2dXOH8rxs0pAbIyAw,Alphie's Restaurant,Goleta
0LXeNx7wGTqbMSwKkGC3xg,Altamirano Mexican Restaurant,Santa Barbara
YXKot5TH9MhC4khAn0JC3w,Altamiranos Restaurant,Goleta
DcRfabRzYkddMEUFyPMBgw,American Ale,Santa Barbara
XkZwD46WcsAlbpg1inwbLQ,American Ale,Santa Barbara
LgSEHsI9DKyeGVGtn61tEg,Ana's Taco Bar,Santa Barbara
PZIVcSuN-G_I6oG6EVKntQ,Anchor Woodfire Kitchen,Santa Barbara
Ss6f5v_t5Vddiaz4ZOxL0g,Andersen's Danish Bakery & Restaurant,Santa Barbara
Slg6Ec2D7vEBRmgVUfwkzQ,Angel Oak,Santa Barbara
2T7622XwGOhJf7O4ND_XBA,Angry Wings,Isla Vista
HE-9l_2RSingLV2RZItdsA,Anna's Marketplace Bakery,Goleta
Hl_vXTiYLozWo7T9Cq17vw,Aperitivo,Santa Barbara
d1sY9JkgkGt3_P2fWZ2eFw,Apero,Santa Barbara
-I7M6l0h46VdiN09Y1NUZw,Apna Indian Kitchen,Santa Barbara
OrU9wTeHJSLMwyGqYg4FAA,Arch Rock,Santa Barbara
c-W17u2jiFOD2H_d6uo-bQ,Area 5.1 Winery,Santa Barbara
U2hkeMI-q4cS35QolJYN0A,Arigato Sushi,Santa Barbara
n0Z10UAJO187H8Zp8gl-rw,Arlington Tavern,Santa Barbara
e76uCbhmK8oqAtYAkxB2Qg,Armada Wine & Beer Merchant,Santa Barbara
yIAgFdYQY3UdfDn-qO0K7g,Arts & Letters Cafe,Santa Barbara
zYTQOpgMSMaFNkcCAvJR3Q,Arturo's Taqueria,Santa Barbara
TZ-bgvsk189WywTLFrqfTQ,Ascending Health Juicery,Santa Barbara
ugkzb_3jAcK0RZLxIeK7gA,Asian Cafe,Goleta
gLNf3zUydIKc_cvUll-6gw,August Ridge Vineyards,Santa Barbara
vyNMRa4U9gnrCzqR707GZA,Back Door Deli,Santa Barbara
kwtKZ3fzM5jlR8Z7KIA17g,Backstage Dueling Piano Bar,Santa Barbara
2swMZVA832zkmdPBrddPRQ,Backyard Bowls,Goleta
hVKH5oED9NgGaZeIiF547A,Backyard Bowls,Santa Barbara
34Eqv8jXgxg_EEwcsNgeeg,Backyard Bowls,Santa Barbara
29t8lDBLiwkEd1HA356dOw,Bagel Cafe,Goleta
w8fA94jzTNiGAIZz87y9Cw,Baja Fresh,Goleta
8FgcWn7bdMC-TMrE4Q3xMg,Bangkok Palace,Santa Barbara
apmw_lkLdwWbeYiI9ysdJg,Bar 29,Santa Barbara
IoAubn7CpU2rqcURxUo1MA,Barb's Pies,Santa Barbara
6HTGlttrzCMsuGBHO1ZGiw,Barbareño,Santa Barbara
pQh2GzkAnbLKiDqEpxcylQ,Barbieri & Kempe: Wine,Santa Barbara
svKDkmALJNcToJxEsU_bpw,Barcliff & Bair,Santa Barbara
0nR7jHCkFEzmA1n2b5g1nw,Basil's Italian,Santa Barbara
Tfo88MgUweNHyOMfQ6TYGw,Bay Roadhouse Bar and Grill,Santa Barbara
ZTg2GBgQj1WwAO5ySsTAQw,Beach Bowl,Carpinteria
RdFgbrE_8sf6NImEMopaPQ,Beachbreak Cafe,Santa Barbara
-kOUmMiIimNSBIDdFN0x-Q,Beachside Bar-Cafe,Goleta
n67s7eDowWHlfhVtCElxGQ,Belcampo Meat Co Restaurant,Santa Barbara
UGADjVkBITKPU7I6sMO1oQ,Bella Dolce Bakery,Santa Barbara
MX2YGruhd0sMNHZGK7p5-Q,Bella Vista,Santa Barbara
VOcGcN0bvGU_nzxbJgR5jQ,Bettina,Santa Barbara
n_fADQa8T0dgLd-D8ABEhQ,Bevmo,Goleta
oinV9xrSkR3b_T8sK1nsqg,Bibi Ji,Santa Barbara
AXC__4yZrn-N3BT7-2bV_Q,Biergarten,Santa Barbara
RW3nH6Au6pSCWxJhiGY03Q,Big Eye Raw Bar,Santa Barbara
GQue4Nouo2Mg5R2GotVS7w,Big Yellow House,Summerland
lbHEB5BIm-3GfpvdzSwFLw,Billies,Santa Barbara
-TArOdux8Z4oH-jIM1FJuQ,Bistro 1111,Santa Barbara
_cWBP-lW9RETw77prVle1g,Bitterman's Deli,Santa Barbara
